Faizaan Beach,Analytical Department on Science & Technology Development
Isabella Heaton,Industrial Department
Edward Cano,Analytical Department on Science & Technology Development
Sahil Wilkins,Department of Petroleum Engineering
Shaan Barber,Department of Petroleum Engineering
Simrah Gilliam,Industrial Department
Emily Corona,Industrial Department
Chanice Cleveland,Department of Petroleum Engineering
Amelie Alcock,Analytical Department on Science & Technology Development
Savannah Lester,Department of Petroleum Engineering
